Commune;Prixm2_Moy;Code_postal
Chambois;1654.0;27240
Chambois;1654.0;27240
Chambois;1654.0;27240
Domloup;2076.0;35410
Authon du perche;988.0;28330
Authon du perche;988.0;28330
Bailleau armenonville;1998.0;28320
Bailleau armenonville;1998.0;28320
Gallardon;2160.0;28320
Gallardon;2160.0;28320
Gas;2062.0;28320
Yermenonville;2206.0;28130
Plouigneau;1253.0;29650
Plouigneau;1253.0;29610
Poullaouen;981.0;29246
Poullaouen;981.0;29690
Arboras;1933.0;34150
Montpeyroux;2062.0;12210
Montpeyroux;2062.0;24610
Montpeyroux;2062.0;63114
Montpeyroux;2062.0;34150
Montpeyroux;1414.0;12210
Montpeyroux;1414.0;24610
Montpeyroux;1414.0;63114
Montpeyroux;1414.0;34150
Montpeyroux;869.0;12210
Montpeyroux;869.0;24610
Montpeyroux;869.0;63114
Montpeyroux;869.0;34150
Montpeyroux;2175.0;12210
Montpeyroux;2175.0;24610
Montpeyroux;2175.0;63114
Montpeyroux;2175.0;34150
Riscle;1131.0;32400
Riscle;1131.0;32400
Montauban de bretagne;1557.0;35360
Montauban de bretagne;1557.0;35360
Domblans;1589.0;39230
Domblans;1589.0;39210
Brevans;1402.0;39100
Morcenx la nouvelle;1483.0;40110
Morcenx la nouvelle;1483.0;40110
Morcenx la nouvelle;1483.0;40110
Morcenx la nouvelle;1483.0;40110
Derval;1310.0;44590
Treillieres;2546.0;44119
Vigneux de bretagne;2463.0;44360
Vigneux de bretagne;2463.0;44360
Montdoumerc;1089.0;46230
Sauveterre de bearn;1730.0;64390
Moyon villages;1132.0;50420
Moyon villages;1132.0;50860
Moyon villages;1132.0;50860
Quettehou;1516.0;50630
Quettehou;1516.0;50630
Tirepied sur see;1631.0;50300
Tirepied sur see;1631.0;50870
Tirepied sur see;1631.0;50870
Evron;1125.0;53600
Evron;1125.0;53600
Evron;1125.0;53150
Ferrieres en brie;3770.0;77164
Bernay neuvy en champagne;1118.0;72240
Bernay neuvy en champagne;1118.0;72240
Ploermel;1465.0;56800
Ploermel;1465.0;56800
Plumeliau bieuzy;1242.0;56930
Plumeliau bieuzy;1242.0;56310
Busigny;1036.0;59137
Formerie;1102.0;60220
Formerie;1102.0;60220
Mortree;862.0;61500
Mortree;862.0;61570
Bonnieres;1156.0;60112
Bonnieres;1156.0;62270
Bonnieres;1156.0;62270
Bonnieres;1215.0;60112
Bonnieres;1215.0;62270
Bonnieres;1215.0;62270
Athos aspis;1716.0;64390
Chagny;1685.0;8430
Chagny;1685.0;71150
Marolles les braults;1094.0;72260
Marolles les braults;1094.0;72260
Chenoise cucharmoy;1906.0;77160
Chenoise cucharmoy;1906.0;77160
Valdelaume;869.0;79110
Valdelaume;869.0;79110
Valdelaume;869.0;79110
Valdelaume;869.0;79110
Chef boutonne;837.0;79110
Chef boutonne;837.0;79110
Chef boutonne;837.0;79110
Chef boutonne;837.0;79110
Melle;1095.0;79500
Melle;1095.0;79500
Melle;1095.0;79500
Melle;1095.0;79500
Melle;1095.0;79500
Melle;1095.0;79500
Melle;1095.0;35420
Melle;1175.0;79500
Melle;1175.0;79500
Melle;1175.0;79500
Melle;1175.0;79500
Melle;1175.0;79500
Melle;1175.0;79500
Melle;1175.0;35420
Thouars;1017.0;79100
Thouars;1017.0;79100
Thouars;1017.0;79100
Thouars;1017.0;79100
Thouars;1017.0;79100
Hombleux;1029.0;80400
Hombleux;1029.0;80400
Albi;1858.0;81000
Carlus;1910.0;81990
Montpezat de quercy;1285.0;82270
Sollies ville;2990.0;83210
Gland;373.0;2400
Gland;373.0;89740
Gland;1637.0;2400
Gland;1637.0;89740
Sennevoy le haut;757.0;89160
Gennevilliers;3937.0;92230
Arviere en valromey;1729.0;1260
Arviere en valromey;1729.0;1260
Arviere en valromey;1729.0;1260
Arviere en valromey;1729.0;1260
Coteaux du blanzacais;1289.0;16250
Coteaux du blanzacais;1289.0;16250
Coteaux du blanzacais;1289.0;16250
Coteaux du blanzacais;1289.0;16250
Coteaux du blanzacais;1289.0;16250
Rouillac;1053.0;16170
Rouillac;1053.0;16170
Rouillac;1053.0;16170
Rouillac;1053.0;22250
Rouillac;1053.0;16170
Rouillac;601.0;16170
Rouillac;601.0;16170
Rouillac;601.0;16170
Rouillac;601.0;22250
Rouillac;601.0;16170
Jumelles;1721.0;27220
Brantome en perigord;2491.0;24310
Brantome en perigord;2491.0;24310
Brantome en perigord;2491.0;24310
Brantome en perigord;2491.0;24310
Brantome en perigord;2491.0;24310
Brantome en perigord;2491.0;24530
Brantome en perigord;2491.0;24310
Brantome en perigord;2491.0;24460
