Commune;Prixm2;Code_postal
Andilly;3046.0;54200
Andilly;3046.0;17230
Andilly;3046.0;95580
Andilly;3046.0;74350
Andilly;3366.0;54200
Andilly;3366.0;17230
Andilly;3366.0;95580
Andilly;3366.0;74350
Bellevigne;757.0;16120
Puygouzon;1343.0;81120
Puygouzon;1343.0;81990
Belle vie en auge;1472.0;14340
Belle vie en auge;1472.0;14270
Valambray;1249.0;14370
Valambray;1249.0;14190
Valambray;1249.0;14540
Montholon;1199.0;89710
Montholon;1199.0;89110
Levier;1453.0;25270
Val en vignes;951.0;79150
Val en vignes;951.0;79290
Castels et bezenac;1488.0;24220
Porte des pierres dorees;2491.0;69400
Porte des pierres dorees;2491.0;69640
Les achards;1595.0;85150
Bazeilles;1191.0;8140
Picauville;1130.0;50250
Picauville;1130.0;50360
Picauville;1130.0;50480
Carentan les marais;1229.0;50500
Carentan les marais;1229.0;50480
Carentan les marais;1229.0;50620
Monfaucon;1594.0;24130
Monfaucon;1594.0;65140
Monfaucon;870.0;24130
Monfaucon;870.0;65140
Tourdun;1043.0;32230
Aydie;762.0;64330
Ponsampere;675.0;32300
Chateaugiron;1923.0;35410
Duffort;1295.0;32170
Segalas;1445.0;65140
Segalas;1445.0;47410
Segalas;1436.0;65140
Segalas;1436.0;47410
Cuelas;991.0;32300
Sauviac;1086.0;32300
Sauviac;1086.0;33430
Sauviac;842.0;32300
Sauviac;842.0;33430
Fursac;974.0;23290
Longeves;1713.0;17230
Longeves;1713.0;85200
Longeves;1018.0;17230
Longeves;1018.0;85200
Les trois lacs;1413.0;27700
Les trois lacs;1413.0;27940
La vineuse sur fregande;1640.0;71250
Val de louyre et caudeau;1593.0;24510
Val de louyre et caudeau;1593.0;24380
Saligos;2771.0;65120
Deux rivieres;1008.0;89460
Bossugan;771.0;33350
Mareuil en perigord;1390.0;24340
Gensac;1204.0;33890
Gensac;1204.0;65140
Gensac;1204.0;82120
Gensac;1322.0;33890
Gensac;1322.0;65140
Gensac;1322.0;82120
Troncens;1684.0;32230
Coteaux du lizon;1364.0;39170
Esquerchin;1848.0;59553
Fleury;941.0;11560
Fleury;941.0;60240
Fleury;941.0;50800
Fleury;941.0;57420
Fleury;941.0;62134
Fleury;941.0;2600
Fleury;941.0;80160
Fleury;516.0;11560
Fleury;516.0;60240
Fleury;516.0;50800
Fleury;516.0;57420
Fleury;516.0;62134
Fleury;516.0;2600
Fleury;516.0;80160
Fleury;1382.0;11560
Fleury;1382.0;60240
Fleury;1382.0;50800
Fleury;1382.0;57420
Fleury;1382.0;62134
Fleury;1382.0;2600
Fleury;1382.0;80160
Fleury;723.0;11560
Fleury;723.0;60240
Fleury;723.0;50800
Fleury;723.0;57420
Fleury;723.0;62134
Fleury;723.0;2600
Fleury;723.0;80160
Fleury;2772.0;11560
Fleury;2772.0;60240
Fleury;2772.0;50800
Fleury;2772.0;57420
Fleury;2772.0;62134
Fleury;2772.0;2600
Fleury;2772.0;80160
Fleury;2056.0;11560
Fleury;2056.0;60240
Fleury;2056.0;50800
Fleury;2056.0;57420
Fleury;2056.0;62134
Fleury;2056.0;2600
Fleury;2056.0;80160
Druelle balsac;1661.0;12510
Druelle balsac;1661.0;12000
Oroix;1594.0;65320
Espeluche;1473.0;26780
Juvigny les vallees;864.0;50520
Loir en vallee;1148.0;72310
Loir en vallee;1148.0;72340
Vrigne aux bois;1153.0;8350
Vrigne aux bois;1153.0;8330
Lagarde;717.0;31290
Lagarde;717.0;9500
Lagarde;717.0;57810
Lagarde;717.0;65320
Lagarde;717.0;32700
Lagarde;1537.0;31290
Lagarde;1537.0;9500
Lagarde;1537.0;57810
Lagarde;1537.0;65320
Lagarde;1537.0;32700
Lagarde;1342.0;31290
Lagarde;1342.0;9500
Lagarde;1342.0;57810
Lagarde;1342.0;65320
Lagarde;1342.0;32700
Lagarde;2379.0;31290
Lagarde;2379.0;9500
Lagarde;2379.0;57810
Lagarde;2379.0;65320
Lagarde;2379.0;32700
La sure en chartreuse;1445.0;38134
La sure en chartreuse;1445.0;38340
Bazouges cre sur loir;992.0;72200
Escaunets;934.0;65500
Dours;1212.0;65350
Sadournin;582.0;65220
Villages du lac de paladru;1651.0;38850
Villages du lac de paladru;1651.0;38730
Peguilhan;984.0;31350
Oucques la nouvelle;1031.0;41290
Lameac;1091.0;65140
Pallanne;1205.0;32230
Chabaniere;2145.0;69440
Ricourt;1185.0;32230
Tillac;672.0;32170
Pommiers;1526.0;36190
Pommiers;1526.0;2200
Pommiers;1526.0;69480
Pommiers;1526.0;30120
Pommiers;921.0;36190
Pommiers;921.0;2200
Pommiers;921.0;69480
Pommiers;921.0;30120
Pommiers;2256.0;36190
Pommiers;2256.0;2200
Pommiers;2256.0;69480
Pommiers;2256.0;30120
Pommiers;1226.0;36190
Pommiers;1226.0;2200
Pommiers;1226.0;69480
Pommiers;1226.0;30120
Laas;1324.0;32170
Laas;1324.0;45300
Laas;1324.0;64390
Laas;1038.0;32170
Laas;1038.0;45300
Laas;1038.0;64390
Laas;1022.0;32170
Laas;1022.0;45300
Laas;1022.0;64390
Tocqueville;533.0;50330
Tocqueville;533.0;27500
Tocqueville;1296.0;50330
Tocqueville;1296.0;27500
Bitry;1493.0;58310
Bitry;1493.0;60350
Bitry;1089.0;58310
Bitry;1089.0;60350
Gouffern en auge;1149.0;61160
Gouffern en auge;1149.0;61310
Gouffern en auge;1149.0;61200
Lascazeres;639.0;65700
Auriebat;1129.0;65700
Courchevel;6151.0;73120
Liac;810.0;65140
Lasserre;832.0;47600
Lasserre;832.0;9230
Lasserre;832.0;64350
Lasserre;1758.0;47600
Lasserre;1758.0;9230
Lasserre;1758.0;64350
Lasserre;1340.0;47600
Lasserre;1340.0;9230
Lasserre;1340.0;64350
Lasserre;893.0;47600
Lasserre;893.0;9230
Lasserre;893.0;64350
Valencisse;1157.0;41190
Monlezun;1531.0;32230
Thierville;1121.0;27290
Maubourguet;1148.0;65700
Chemaudin et vaux;1830.0;25320
Chemaudin et vaux;1830.0;25770
Villemaury;918.0;28200
Nalliers;999.0;86310
Nalliers;999.0;85370
Nalliers;1399.0;86310
Nalliers;1399.0;85370
Coteaux du blanzacais;1228.0;16250
Marciac;1152.0;32230
Bars;636.0;32300
Bars;636.0;24210
Bars;1110.0;32300
Bars;1110.0;24210
Semboues;889.0;32230
Sarniguet;1145.0;65390
Camales;1245.0;65500
Castets et castillon;1246.0;33210
Siarrouy;1079.0;65500
Val suran;1182.0;39320
Aromas;943.0;39240
Terres de bord;2004.0;27400
Terres de bord;2004.0;27340
Bazugues;2337.0;32170
Dialan sur chaine;946.0;14260
Bosroumois;1315.0;27670
Mirande;1024.0;32300
Seulline;774.0;14260
Seulline;774.0;14310
Aurseulles;1085.0;14240
Aurseulles;1085.0;14250
Mouches;1760.0;32300
Loubersan;1946.0;32300
Val de drome;1178.0;14350
Val de drome;1178.0;14240
Terres de druance;754.0;14770
Les coteaux perigourdins;1043.0;24120
Labejan;759.0;32300
Lasseran;756.0;32550
Caillavet;1828.0;32190
Iville;2089.0;27110
Mont lozere et goulet;1101.0;48170
Mont lozere et goulet;1101.0;48250
Mont lozere et goulet;1101.0;48190
Barran;1728.0;32350
Nassandres sur risle;1255.0;27550
Nassandres sur risle;1255.0;27170
Nassandres sur risle;1255.0;27300
Les portes du coglais;942.0;35460
Amange;1510.0;39700
Maen roch;1120.0;35460
Guerledan;943.0;22530
La gacilly;1050.0;56200
Carentoir;1076.0;56910
Mennevret;1054.0;2630
Mazinghien;780.0;59360
Ribeauville;731.0;2110
Ribeauville;731.0;68150
Tupigny;731.0;2120
Grougis;729.0;2110
Busigny;833.0;59137
Wassigny;798.0;2630
Vadencourt;639.0;2120
Vadencourt;639.0;80560
Vadencourt;1353.0;2120
Vadencourt;1353.0;80560
Becquigny;829.0;2110
Becquigny;829.0;80500
Becquigny;533.0;2110
Becquigny;533.0;80500
Etalans;1475.0;25620
Etalans;1475.0;25580
Marsilly;2380.0;57530
Marsilly;2380.0;17137
Septmoncel les molunes;3114.0;39310
Les deux alpes;3078.0;38860
Les deux alpes;3078.0;38520
Hectomare;748.0;27110
Berdoues;1478.0;32300
Maxeville;1659.0;54320
Colombey les deux eglises;991.0;52330
Flamanville;1423.0;50340
Flamanville;1423.0;76970
Flamanville;1126.0;50340
Flamanville;1126.0;76970
Hardinvast;1314.0;50690
Heauville;772.0;50340
Digosville;1624.0;50110
Martinvast;1179.0;50690
Clitourps;1262.0;50330
Le vast;2010.0;50630
Varouville;1061.0;50330
Eroudeville;745.0;50310
Marsac;1267.0;23210
Marsac;1267.0;16570
Marsac;1267.0;65500
Marsac;1267.0;82120
Marsac;829.0;23210
Marsac;829.0;16570
Marsac;829.0;65500
Marsac;829.0;82120
Marsac;622.0;23210
Marsac;622.0;16570
Marsac;622.0;65500
Marsac;622.0;82120
Marsac;709.0;23210
Marsac;709.0;16570
Marsac;709.0;65500
Marsac;709.0;82120
Treauville;1298.0;50340
Brix;1490.0;50700
Emondeville;1798.0;50310
Couville;1503.0;50690
Magneville;880.0;50260
Sotteville;854.0;50340
Helleville;1690.0;50340
La pernelle;1023.0;50630
La hague;1521.0;50440
La hague;1521.0;50460
La hague;1521.0;50690
Sideville;1311.0;50690
Nouainville;1992.0;50690
Barfleur;2927.0;50760
Canteloup;1012.0;50330
Canteloup;1012.0;14370
Canteloup;657.0;50330
Canteloup;657.0;14370
Baubigny;1817.0;21340
Baubigny;1817.0;50270
Baubigny;1286.0;21340
Baubigny;1286.0;50270
Virandeville;1367.0;50690
Grosville;1295.0;50340
Marquefave;1305.0;31390
Tollevast;1320.0;50470
Les pieux;1610.0;50340
Fresville;685.0;50310
Saussemesnil;1275.0;50700
Bricquebosq;1156.0;50340
Benoitville;1294.0;50340
Le rozel;1133.0;50340
Colomby;1135.0;50700
Pierreville;998.0;54160
Pierreville;998.0;50340
Pierreville;2248.0;54160
Pierreville;2248.0;50340
Valognes;1547.0;50700
Carneville;2126.0;50330
Negreville;992.0;50260
Le mesnil;855.0;50580
Besneville;1430.0;50390
Surtainville;1615.0;50270
Brillevast;1141.0;50330
Breuville;1708.0;50260
Le vermont;929.0;88210
Sottevast;1048.0;50260
Theville;932.0;50330
Merelessart;940.0;80490
Reville;1631.0;50760
Valcanville;2088.0;50760
Bretteville;1988.0;50110
Joganville;1000.0;50310
Fermanville;1705.0;50840
Montfarville;1301.0;50760
Ronvaux;538.0;55160
Hennemont;863.0;55160
Crasville;1402.0;27400
Crasville;1402.0;50630
Eix;917.0;55400
Vaudreville;2000.0;50310
Verdun;1288.0;55100
Verdun;1288.0;9310
Verdun;1503.0;55100
Verdun;1503.0;9310
Manheulles;1078.0;55160
Moranville;837.0;55400
Quettehou;1218.0;50630
Brizeaux;1327.0;55250
La marche;949.0;58400
Flottemanville;1178.0;50700
Froidos;1243.0;55120
Laimont;961.0;55800
Vassincourt;869.0;55800
Behonne;1186.0;55000
Pernant;1623.0;2200
Videcosville;605.0;50630
Tamerville;1274.0;50700
Huberville;858.0;50700
Quineville;3063.0;50310
Lestre;868.0;50310
Resson;1120.0;55000
Hemevez;904.0;50700
Ecausseville;680.0;50310
Azeville;1625.0;50310
Evres;657.0;55250
Golleville;1337.0;50390
Urville;1468.0;10200
Urville;1468.0;50700
Urville;1468.0;14190
Urville;1468.0;88140
Urville;1299.0;10200
Urville;1299.0;50700
Urville;1299.0;14190
Urville;1299.0;88140
Nehou;1156.0;50390
Rocheville;892.0;50260
Montebourg;1175.0;50310
Le ham;871.0;53250
Le ham;871.0;50310
Le ham;1042.0;53250
Le ham;1042.0;50310
Orglandes;1084.0;50390
Lieusaint;1329.0;50700
Lieusaint;1329.0;77127
Lieusaint;2743.0;50700
Lieusaint;2743.0;77127
Morville;1422.0;50700
Morville;1422.0;88140
La bonneville;1403.0;50360
Ozeville;833.0;50310
Lecousse;1388.0;35133
Fougeres;1387.0;35300
Landean;984.0;35133
Les billaux;1330.0;33500
Javene;1353.0;35133
Laignelet;1196.0;35133
Villamee;1027.0;35420
Monthault;825.0;35420
Parce;1046.0;35210
Beauce;1097.0;35133
Melle;785.0;79500
Melle;785.0;35420
Melle;1041.0;79500
Melle;1041.0;35420
Combourtille;959.0;35210
Fleurigne;1271.0;35133
Puynormand;1315.0;33660
Parigne;1133.0;35133
Vivaise;1066.0;2870
Le loroux;1156.0;35133
Bille;1415.0;35133
Poilley;1065.0;35420
Poilley;1065.0;50220
Poilley;1144.0;35420
Poilley;1144.0;50220
Romagne;1344.0;35133
Romagne;1344.0;33760
Romagne;1344.0;86700
Romagne;905.0;35133
Romagne;905.0;33760
Romagne;905.0;86700
Romagne;1165.0;35133
Romagne;1165.0;33760
Romagne;1165.0;86700
Nuaille;1350.0;49340
La pyle;2136.0;27370
Cernusson;980.0;49310
Le troncq;1281.0;27110
Aubreville;908.0;55120
Chardogne;890.0;55000
Tostat;1270.0;65140
Lamazere;555.0;32300
Estipouy;647.0;32300
Beausite;690.0;55250
Bouquemont;1250.0;55300
Angers;2003.0;49100
Angers;2003.0;49000
Aucamville;1702.0;31140
Aucamville;1702.0;82600
Aucamville;2248.0;31140
Aucamville;2248.0;82600
Montzeville;608.0;55100
Laheycourt;2172.0;55800
Vavincourt;1110.0;55000
Le villey;2568.0;39230
Deuillet;1031.0;2700
Haudainville;1236.0;55100
Bellengreville;925.0;14370
Bellengreville;925.0;76630
Bellengreville;1591.0;14370
Bellengreville;1591.0;76630
Bruguieres;1721.0;31150
Souilly;950.0;55220
Ancemont;1182.0;55320
Courouvre;772.0;55260
Woimbey;1067.0;55300
Belleray;1303.0;55100
Authiou;500.0;58700
Geville;717.0;55200
Salmagne;724.0;55000
Loisey;1051.0;55000
Tannois;1021.0;55000
Sampigny;983.0;55300
Chatignonville;2692.0;91410
Euville;959.0;55200
Boucq;992.0;54200
Vadonville;1047.0;55200
Freauville;973.0;76660
Cholet;1441.0;49300
Trementines;1432.0;49340
La tessoualle;1517.0;49280
Vignot;884.0;55200
Varneville;882.0;55300
Toutlemonde;1400.0;49360
La plaine;1021.0;49360
Dardenac;1941.0;33420
Commercy;1081.0;55200
Somloire;779.0;49360
Les cerqueux;947.0;49360
Yzernay;1204.0;49360
Silmont;1409.0;55000
Guerpont;737.0;55000
Vezins;1196.0;49340
Thillot;855.0;55210
Maisons;1637.0;28700
Maisons;1637.0;11330
Maisons;1637.0;14400
Maisons;1036.0;28700
Maisons;1036.0;11330
Maisons;1036.0;14400
Maisons;512.0;28700
Maisons;512.0;11330
Maisons;512.0;14400
La romagne;1494.0;8220
La romagne;1494.0;49740
Prizy;850.0;71800
Maulevrier;1376.0;49360
Ippecourt;1413.0;55220
La seguiniere;1407.0;49280
Coron;1177.0;49690
Montilliers;912.0;49310
Nerigean;1517.0;33750
Cadarsac;1058.0;33750
Arveyres;1773.0;33500
Vayres;1607.0;33870
Vayres;1607.0;87600
Vayres;812.0;33870
Vayres;812.0;87600
Pomerol;1649.0;33500
Mathieu;2018.0;14920
Daignac;1156.0;33420
Genissac;1900.0;33420
Libourne;1820.0;33500
Moulon;2066.0;45270
Moulon;2066.0;33420
Moulon;1526.0;45270
Moulon;1526.0;33420
Espiet;1392.0;33420
Eterville;2075.0;14930
Le fieu;889.0;33230
Epron;2236.0;14610
Chamadelle;1172.0;33230
Chanes;1249.0;71570
Coutras;1255.0;33230
Chauvoncourt;641.0;55300
Bayas;1437.0;33230
Lapouyade;1223.0;33620
Les peintures;1176.0;33230
Sablons;1178.0;38550
Sablons;1178.0;33910
Sablons;1540.0;38550
Sablons;1540.0;33910
Guitres;1239.0;33230
Lagorce;1289.0;7150
Lagorce;1289.0;33230
Lagorce;2566.0;7150
Lagorce;2566.0;33230
Abzac;1348.0;16500
Abzac;1348.0;33230
Abzac;1302.0;16500
Abzac;1302.0;33230
Gours;779.0;33660
Porcheres;746.0;33660
Mouilly;664.0;55320
Izon;1899.0;33450
Lemmes;1171.0;55220
Bonzac;1214.0;33910
Harville;862.0;55160
Sommedieue;924.0;55320
Herbeuville;933.0;55210
Chaillon;818.0;55210
Maransin;1016.0;33230
Thue et mue;1849.0;14250
Thue et mue;1849.0;14740
Thue et mue;1849.0;14210
Lachaussee;1214.0;55210
Demouville;2094.0;14840
Mondeville;1932.0;14120
Mondeville;1932.0;91590
Mondeville;2049.0;14120
Mondeville;2049.0;91590
Montesquiou;965.0;32320
Grentheville;1887.0;14540
Ifs;1889.0;14123
Louvigny;2120.0;14111
Louvigny;2120.0;64410
Louvigny;2120.0;57420
Louvigny;2120.0;72600
Louvigny;787.0;14111
Louvigny;787.0;64410
Louvigny;787.0;57420
Louvigny;787.0;72600
Caen;2154.0;14000
Giberville;2215.0;14730
Colombelles;2012.0;14460
Bazillac;1052.0;65140
Cuverville;2013.0;14840
Cuverville;2013.0;27700
Cuverville;2013.0;76280
Cuverville;1096.0;14840
Cuverville;1096.0;27700
Cuverville;1096.0;76280
Carpiquet;2399.0;14650
Rots;1781.0;14980
Rots;1781.0;14740
Senac;1329.0;65140
Mouen;1842.0;14790
Verson;1965.0;14790
Cairon;1914.0;14610
Soliers;1898.0;14540
Bourguebus;2094.0;14540
Sanous;1290.0;65500
Thaon;1510.0;14610
Authie;2072.0;14280
Authie;2072.0;80560
Authie;801.0;14280
Authie;801.0;80560
Andrest;1124.0;65390
Rosel;1716.0;14740
Aurensan;838.0;32400
Aurensan;838.0;65390
Aurensan;670.0;32400
Aurensan;670.0;65390
Dompcevrin;929.0;55300
Ouistreham;2536.0;14150
Woel;840.0;55210
Bannoncourt;1200.0;55300
Benouville;1891.0;14970
Benouville;1891.0;76790
Benouville;940.0;14970
Benouville;940.0;76790
Bouex;997.0;16410
Vouzan;946.0;16410
Sers;824.0;16410
Sers;824.0;65120
Sers;1680.0;16410
Sers;1680.0;65120
Bislee;590.0;55300
Balzac;1155.0;16430
Vindelle;1164.0;16430
Champniers;1218.0;16430
Champniers;1218.0;86400
Champniers;846.0;16430
Champniers;846.0;86400
Raival;2196.0;55260
Fleac;1453.0;16730
Linars;1368.0;16730
Puymoyen;1345.0;16400
Nersac;1316.0;16440
Touvre;1107.0;16600
Soyaux;1222.0;16800
Jauldes;1079.0;16560
Garat;1034.0;16410
